CID,superclass,predicted_class
106264812,Phenylpropanoids and polyketides,-1
91442223,Organic oxygen compounds,-1
10394107,Phenylpropanoids and polyketides,-1
58264571,Phenylpropanoids and polyketides,-1
52927331,Lipids and lipid-like molecules,2
16103445,Organic oxygen compounds,-1
89964161,Lipids and lipid-like molecules,-1
89166608,Lipids and lipid-like molecules,-1
4264905,Lipids and lipid-like molecules,-1
15567698,Lipids and lipid-like molecules,-1
7157127,Lipids and lipid-like molecules,-1
9646183,Phenylpropanoids and polyketides,-1
79429067,Phenylpropanoids and polyketides,-1
90902039,"Lignans, neolignans and related compounds",-1
91038670,Lipids and lipid-like molecules,-1
79859764,Organic nitrogen compounds,-1
73439728,Organic nitrogen compounds,-1
59431370,Organic nitrogen compounds,-1
10773474,Lipids and lipid-like molecules,-1
44222069,Phenylpropanoids and polyketides,8
44290061,"Nucleosides, nucleotides, and analogues",-1
64236941,"Organic 1,3-dipolar compounds",-1
69438374,Organic nitrogen compounds,-1
89112085,Organic nitrogen compounds,-1
131815992,Lipids and lipid-like molecules,2
88059804,Organic nitrogen compounds,-1
4977949,Organic oxygen compounds,-1
88877476,"Lignans, neolignans and related compounds",-1
97165011,Organosulfur compounds,-1
65141035,Organosulfur compounds,-1
127039158,"Nucleosides, nucleotides, and analogues",-1
70199192,Organic oxygen compounds,-1
104713252,Organic oxygen compounds,-1
22900264,Organic nitrogen compounds,-1
66353833,Organic nitrogen compounds,-1
80464609,Organic nitrogen compounds,-1
99600295,Lipids and lipid-like molecules,-1
70289139,Organic oxygen compounds,-1
66632227,Phenylpropanoids and polyketides,-1
91464655,Phenylpropanoids and polyketides,3
79360074,Organic nitrogen compounds,-1
11723593,Phenylpropanoids and polyketides,-1
81938999,Organic nitrogen compounds,-1
70960375,Lipids and lipid-like molecules,-1
5149063,Phenylpropanoids and polyketides,-1
99852223,Organic nitrogen compounds,-1
15455689,Organic oxygen compounds,-1
44420350,Organic oxygen compounds,5
131778428,Lipids and lipid-like molecules,2
90125615,Organic nitrogen compounds,3
90111472,Phenylpropanoids and polyketides,-1
20261723,Lipids and lipid-like molecules,-1
101218986,Lipids and lipid-like molecules,-1
66395849,Organic oxygen compounds,-1
76316976,Lipids and lipid-like molecules,-1
72712454,Organic oxygen compounds,-1
103917634,Organic nitrogen compounds,-1
76926695,Lipids and lipid-like molecules,-1
108232901,Organic oxygen compounds,-1
58448793,Organic oxygen compounds,-1
104613545,Organic oxygen compounds,-1
110871242,Organic oxygen compounds,-1
90153867,Organic nitrogen compounds,3
82019647,Organic nitrogen compounds,-1
3728421,Phenylpropanoids and polyketides,-1
63530562,Phenylpropanoids and polyketides,-1
107456771,Organic nitrogen compounds,-1
90179681,Phenylpropanoids and polyketides,-1
10819440,Lipids and lipid-like molecules,-1
83125920,Organic oxygen compounds,-1
91852193,Organic oxygen compounds,5
63751864,Organic nitrogen compounds,-1
59136575,Lipids and lipid-like molecules,2
29981592,Phenylpropanoids and polyketides,-1
6606928,Lipids and lipid-like molecules,-1
80252822,Organic oxygen compounds,-1
58969417,Organic nitrogen compounds,3
79625119,Organic nitrogen compounds,-1
1675242,Phenylpropanoids and polyketides,-1
99936166,Alkaloids and derivatives,-1
78767750,Organic oxygen compounds,-1
81929870,Lipids and lipid-like molecules,-1
24203755,Lipids and lipid-like molecules,-1
102124361,Organic oxygen compounds,-1
103575403,Organic nitrogen compounds,-1
107782952,Organosulfur compounds,-1
90870944,Phenylpropanoids and polyketides,-1
53862421,Phenylpropanoids and polyketides,-1
53617602,Lipids and lipid-like molecules,-1
110064729,Phenylpropanoids and polyketides,-1
5405787,Phenylpropanoids and polyketides,-1
86716400,Organic nitrogen compounds,-1
58308473,Organic oxygen compounds,-1
6729710,Phenylpropanoids and polyketides,-1
5856687,Organic nitrogen compounds,-1
89702500,Organic nitrogen compounds,3
44664317,Organic oxygen compounds,-1
57370056,Lipids and lipid-like molecules,-1
111012691,Organic nitrogen compounds,-1
52928900,Lipids and lipid-like molecules,2
10189627,"Lignans, neolignans and related compounds",-1
90722455,Organohalogen compounds,-1
101439760,Lipids and lipid-like molecules,-1
65824945,Organic nitrogen compounds,-1
11776897,Lipids and lipid-like molecules,-1
19126317,Phenylpropanoids and polyketides,7
13244745,Organic oxygen compounds,-1
25728238,Phenylpropanoids and polyketides,-1
