cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"72231599"	"C1CC1OC2=C(C=C(N=C2)C#N)C(=O)N"	{"1": "C1CC1", "2": "CO", "3": "CC", "4": "C#N", "5": "CC", "6": "C=O", "7": "CN", "8": "CO", "9": "C1=CC=NC=C1", "10": "C"}	{"1": [8], "2": [8, 9], "3": [4, 9], "4": [3], "5": [9, 10], "6": [10], "7": [10], "8": [2, 1], "9": [2, 3, 5], "10": [5, 6, 7]}	{"1": [0, 1, 2], "2": [3, 4], "3": [7, 10], "4": [10, 11], "5": [5, 12], "6": [12, 13], "7": [12, 14], "8": [2, 3], "9": [5, 6, 7, 8, 9, 4], "10": [12]}
"101884945"	"CC1CCC(=O)N1CC2=CC=C(C=C2)C"	{"1": "CC", "2": "C=O", "3": "CN", "4": "CC", "5": "CC", "6": "C1CCNC1", "7": "C1=CC=CC=C1"}	{"1": [6], "2": [6], "3": [4, 6], "4": [3, 7], "5": [7], "6": [1, 2, 3], "7": [4, 5]}	{"1": [0, 1], "2": [4, 5], "3": [6, 7], "4": [7, 8], "5": [11, 14], "6": [1, 2, 3, 4, 6], "7": [9, 10, 11, 12, 13, 8]}
"131621716"	"CC1=C(C=NN1)CC2=CN(C(=C2)C=O)C"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "C=O", "6": "CN", "7": "C1=C[NH]N=C1", "8": "C1=C[NH]C=C1"}	{"1": [7], "2": [3, 7], "3": [2, 8], "4": [5, 8], "5": [4], "6": [8], "7": [1, 2], "8": [3, 4, 6]}	{"1": [0, 1], "2": [2, 6], "3": [6, 7], "4": [10, 12], "5": [12, 13], "6": [9, 14], "7": [1, 2, 3, 4, 5], "8": [8, 7, 11, 10, 9]}
"131603562"	"C1=C(N=CC(=C1C(F)F)C(=O)O)CO"	{"1": "C1=CC=NC=C1", "2": "CF", "3": "CF", "4": "CC", "5": "C=O", "6": "CO", "7": "CC", "8": "CO", "9": "CC", "10": "C", "11": "C"}	{"1": [9, 4, 7], "2": [10], "3": [10], "4": [1, 11], "5": [11], "6": [11], "7": [8, 1], "8": [7], "9": [1, 10], "10": [9, 2, 3], "11": [4, 5, 6]}	{"1": [0, 5, 4, 3, 2, 1], "2": [6, 7], "3": [6, 8], "4": [4, 9], "5": [9, 10], "6": [9, 11], "7": [1, 12], "8": [12, 13], "9": [5, 6], "10": [6], "11": [9]}
"116576484"	"CC1=CC(=C(C=C1C)C(=O)C2(CC2)N)C"	{"1": "CC", "2": "CC", "3": "CC", "4": "C=O", "5": "CC", "6": "CN", "7": "CC", "8": "C1=CC=CC=C1", "9": "C1CC1", "10": "C", "11": "C"}	{"1": [8], "2": [8], "3": [8, 10], "4": [10], "5": [10, 11], "6": [11], "7": [8], "8": [1, 2, 3, 7], "9": [11], "10": [3, 4, 5], "11": [5, 6, 9]}	{"1": [0, 1], "2": [6, 7], "3": [4, 8], "4": [8, 9], "5": [8, 10], "6": [10, 13], "7": [3, 14], "8": [1, 6, 5, 4, 3, 2], "9": [11, 10, 12], "10": [8], "11": [10]}
"84025184"	"C1CC(CNC1)CCN2C=CC=C2C#N"	{"1": "C1CCNCC1", "2": "CC", "3": "CN", "4": "CC", "5": "C#N", "6": "CC", "7": "C1=C[NH]C=C1"}	{"1": [6], "2": [6, 3], "3": [2, 7], "4": [5, 7], "5": [4], "6": [2, 1], "7": [3, 4]}	{"1": [0, 5, 4, 3, 2, 1], "2": [6, 7], "3": [7, 8], "4": [12, 13], "5": [13, 14], "6": [2, 6], "7": [9, 8, 12, 11, 10]}
"58504840"	"C1COC(CN1)C2=NC3=C(C2)C=CN=C3"	{"1": "C1COCCN1", "2": "CC", "3": "C1=CN=CC1", "4": "C1=CC=NC=C1"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3]}	{"1": [0, 5, 4, 3, 2, 1], "2": [3, 6], "3": [7, 6, 10, 9, 8], "4": [11, 12, 13, 14, 8, 9]}
"9899151"	"CCONC=NCCCC(C(=O)O)N"	{"1": "CC", "2": "CO", "3": "NO", "4": "CN", "5": "C=N", "6": "CN", "7": "CC", "8": "CC", "9": "CC", "10": "CC", "11": "C=O", "12": "CO", "13": "CN", "14": "C", "15": "C"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7, 9], "9": [8, 14], "10": [14, 15], "11": [15], "12": [15], "13": [14], "14": [9, 10, 13], "15": [10, 11, 12]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [8, 9], "10": [9, 10], "11": [10, 11], "12": [10, 12], "13": [9, 13], "14": [9], "15": [10]}
"105455070"	"CC(C(CC1=CC(=CC=C1)F)(F)F)N"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CF", "6": "CF", "7": "CF", "8": "CN", "9": "C1=CC=CC=C1", "10": "C", "11": "C"}	{"1": [10], "2": [10, 11], "3": [4, 11], "4": [3, 9], "5": [9], "6": [11], "7": [11], "8": [10], "9": [4, 5], "10": [1, 2, 8], "11": [2, 3, 6, 7]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [6, 10], "6": [2, 11], "7": [2, 12], "8": [1, 13], "9": [4, 9, 8, 7, 6, 5], "10": [1], "11": [2]}
"10584307"	"COC1=CC2=C(C=C1N)N=C3N2CCC3"	{"1": "CO", "2": "CO", "3": "CN", "4": "C1=CC=CC=C1", "5": "C1=C[NH]C=N1", "6": "C1CCNC1"}	{"1": [2], "2": [1, 4], "3": [4], "4": [2, 3, 5], "5": [4, 6], "6": [5]}	{"1": [0, 1], "2": [1, 2], "3": [7, 8], "4": [2, 7, 6, 5, 4, 3], "5": [9, 5, 4, 11, 10], "6": [12, 11, 10, 14, 13]}
