frag_id,fragment,count
1202,1899,1496
1203,1883,1493
1204,1722,1490
1205,1544,1490
1206,1451,1489
1207,1250,1486
1208,1780,1465
1209,1763,1463
1210,1930,1462
1211,1256,1460
1212,991,1454
1213,1680,1454
1214,1397,1453
1215,1531,1452
1216,1629,1449
1217,1857,1448
1218,1309,1440
1219,1318,1440
1220,1578,1427
1221,1937,1426
1222,1708,1423
1223,1330,1418
1224,1743,1417
1225,1739,1415
1226,1542,1409
1227,1538,1402
1228,1924,1400
1229,1501,1399
1230,768,1397
1231,1343,1394
1232,1552,1384
1233,1158,1382
1234,1786,1380
1235,1550,1376
1236,1947,1374
1237,1861,1368
1238,1833,1365
1239,1815,1361
1240,1312,1360
1241,1737,1359
1242,1649,1354
1243,1575,1344
1244,1420,1343
1245,1188,1337
1246,1569,1334
1247,1814,1333
1248,1724,1333
1249,1352,1332
1250,1057,1332
1251,1848,1330
1252,1537,1329
1253,1003,1328
1254,1105,1327
1255,2099,1316
1256,1660,1315
1257,2023,1310
1258,1583,1307
1259,1435,1307
1260,1231,1304
1261,1692,1304
1262,1091,1299
1263,1987,1297
1264,2059,1287
1265,1920,1287
1266,1476,1286
1267,1609,1284
1268,1375,1280
1269,1881,1278
1270,1677,1274
1271,1087,1272
1272,2110,1272
1273,2131,1268
1274,1882,1262
1275,1071,1259
1276,1423,1259
1277,857,1256
1278,1936,1253
1279,1972,1251
1280,1572,1251
1281,1541,1250
1282,1651,1250
1283,1752,1250
1284,1243,1243
1285,1047,1241
1286,1048,1239
1287,2139,1237
1288,1251,1233
1289,1746,1226
1290,1524,1226
1291,1378,1225
1292,596,1223
1293,2075,1218
1294,1413,1217
1295,2155,1216
1296,1277,1215
1297,2013,1214
1298,1884,1213
1299,2024,1211
1300,1760,1208
1301,1941,1206
1302,1906,1205
1303,1804,1201
1304,1774,1198
1305,2083,1197
1306,1846,1196
1307,1303,1195
1308,1584,1193
1309,1653,1193
1310,1749,1191
1311,1904,1191
1312,1718,1191
1313,1879,1188
1314,1867,1180
1315,1509,1179
1316,1955,1176
1317,1806,1171
1318,2002,1171
1319,937,1169
1320,1605,1168
1321,1587,1165
1322,1366,1162
1323,1447,1162
1324,1761,1160
1325,1880,1159
1326,1710,1156
1327,1305,1156
1328,1520,1156
1329,2167,1149
1330,1563,1146
1331,1912,1146
1332,1329,1146
1333,1905,1143
1334,1248,1142
1335,2248,1142
1336,1875,1141
1337,1832,1140
1338,1890,1134
1339,2019,1132
1340,1993,1131
1341,1599,1128
1342,2038,1127
1343,1968,1126
1344,2361,1125
1345,2092,1123
1346,2271,1118
1347,1674,1118
1348,2294,1117
1349,1809,1113
1350,2158,1113
1351,1808,1106
1352,2181,1099
1353,1701,1098
1354,1338,1097
1355,2275,1095
1356,2121,1093
1357,2233,1092
1358,1433,1092
1359,1840,1090
1360,1614,1085
1361,1978,1083
1362,1261,1080
1363,1490,1078
1364,1274,1071
1365,1386,1071
1366,1916,1071
1367,1977,1065
1368,2308,1064
1369,2428,1062
1370,1382,1062
1371,1950,1060
1372,972,1056
1373,1293,1052
1374,1831,1051
1375,1117,1049
1376,2174,1044
1377,1288,1044
1378,2268,1043
1379,1933,1042
1380,2127,1042
1381,2350,1040
1382,2393,1039
1383,1223,1038
1384,1747,1025
1385,1675,1015
1386,1324,1014
1387,1797,1013
1388,2482,1013
1389,2240,1012
1390,1982,1008
1391,2261,1003
1392,1089,1002
1393,1821,997
1394,1800,996
1395,1367,992
1396,2419,992
1397,1215,992
1398,1959,990
1399,2486,990
1400,1827,989
1401,1892,989
1402,1384,988
1403,2452,988
1404,2299,988
1405,1726,982
1406,2062,981
1407,1591,978
1408,2311,973
1409,1983,971
1410,2465,970
1411,1523,969
1412,2517,968
1413,1740,964
1414,763,964
1415,2276,961
1416,1285,956
1417,2239,952
1418,2589,944
1419,2508,941
1420,1547,940
1421,2010,939
1422,2157,935
1423,916,931
1424,2197,930
1425,2168,930
1426,2470,929
1427,2085,929
1428,1475,928
1429,1731,927
1430,2441,927
1431,2183,927
1432,2214,923
1433,2511,922
1434,2210,920
1435,2450,919
1436,1798,917
1437,1727,912
1438,2402,910
1439,2567,909
1440,1333,908
1441,2483,906
1442,2184,906
1443,2665,900
1444,2464,895
1445,2347,894
1446,1586,893
1447,2355,890
1448,2682,888
1449,2297,887
1450,1847,885
1451,1595,883
1452,1368,878
1453,1730,876
1454,2658,876
1455,1942,874
1456,2009,863
1457,1943,860
1458,1452,857
1459,2227,855
1460,1874,855
1461,2363,853
1462,2443,850
1463,2703,846
1464,2426,845
1465,1902,840
1466,2851,840
1467,1611,839
1468,1453,837
1469,2549,835
1470,1759,832
1471,2224,831
1472,2652,830
1473,2404,827
1474,2608,826
1475,2362,822
1476,2474,818
1477,2320,814
1478,2088,813
1479,2560,812
1480,2503,808
1481,2303,808
1482,2625,805
1483,2800,802
1484,1893,801
1485,2734,800
1486,2058,800
1487,2650,799
1488,1819,798
1489,1967,798
1490,2506,793
1491,2105,789
1492,1891,789
1493,2881,785
1494,2116,785
1495,2353,781
1496,2609,780
1497,2263,779
1498,2803,778
1499,2290,776
1500,2177,776
1501,1438,776
1502,2799,776
1503,2774,774
1504,2468,770
1505,1863,769
1506,1532,764
1507,2314,762
1508,1689,757
