CID,inchikey,kingdom,superclass,class
19664724,DXIGFEVYVYCKON-JAIQZWGSSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
5306874,QXQIFLPSSMVVTR-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
23561809,VXAGTHDZIPQEBR-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
65663652,HPOYJUHYDBMXOG-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
57670146,RVUCZSBWFHEHFV-ZESVVUHVSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
10009772,BKLWWSHNWOQKHK-WCWDXBQESA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
87572598,MZPKRUJNXDJNBP-IATCFTRNSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
19459282,URXFBGGQAHKULA-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
64593336,YGMIMNGIGWPAEB-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
9336463,CEOGFEYIWQOKPX-UKTHLTGXSA-N,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
21580652,ALCZDVJLQIDTSE-YZKHVZSCSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
62903203,ZAGTWTRATGIBLX-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
20705630,PMMRDSWLLARZJL-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
131775063,CZECPRXAAMJJKA-ISBVVKTBSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
56939906,LKLQFYDBHJHYKY-JXRLFQRWSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
263634,IMCBZLGYAYZSAM-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
15131992,BMHLRGIDXNSMLK-MDZDMXLPSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
9532994,QNZIGESOEQKGRC-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
82749759,BTTYYPFIJFSEBQ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
65143825,GBPHUUHCLQITAH-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
79108817,CTQAYKPTWKFKOS-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
111160731,NSGRHWXEKVJUEI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
66025517,UKVFEBXARJRREE-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
65801340,DXEHIPBYYZOSMI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
134776846,WRKCZXKHSXKJFZ-WCHLEUBTSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids
63411926,UTVOUYOBMUAXMH-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
59842335,PKZXRJUWHBUOGM-TYJDENFWSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues
540192,LANUZLZFNSLNQC-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thiocarbonyl compounds
58599082,HSCAFLPHIFNQIB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
92587827,IWIIQYCXZNVQFR-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
