fragment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
C1=CCCCC1,2.2622626,-1.2150025,-0.5265757,-1.323145,2.106933,0.13469993,-1.7101092,1.0476977,1.0786098,-1.5558752,0.28038478,1.5347992,-1.6195916,-0.4221046,-1.5754265,-1.7256178,-1.1653109,-0.3798393,2.95082,-1.7359463,0.4989744,0.01363384,2.7355185,2.5756729,-1.5734768,4.258866,1.5519934,0.53271115,-0.5696336,-1.1417376
C1CCC1,-0.56579334,-0.91501516,-0.3884944,-1.4853076,0.38495612,-0.046370804,-1.5177889,-1.4814272,1.4650093,-1.6682391,1.0830184,2.901505,-1.5475439,-0.745584,-1.5396056,-1.6761097,-1.2670815,-1.3310207,2.169188,-1.7302434,0.5727602,-0.16749461,0.29886657,1.55183,-1.469286,4.8751817,0.33914003,1.5536788,-0.7575553,-1.3003237
C1=CNCCC1,2.9883704,-0.5806714,-0.65775865,-1.3439031,0.6416927,0.23092519,-1.5043956,0.7259067,0.019543903,-1.7177159,1.1121241,1.030565,-1.5785502,0.14652318,-1.5992036,-1.6083206,-1.3242626,0.64735925,2.4081779,-1.5610068,0.6898204,1.0918783,1.6949227,2.5486646,-0.09640269,-0.17029063,1.5083942,-0.13760144,-1.5993468,-0.341717
C1CNCNC1,2.4679441,-0.9157175,0.6309005,-0.671928,0.66566926,-0.98816025,-0.039110996,-1.5297747,0.8684189,-1.7390018,1.5519246,1.6274011,-1.6283402,-1.4501917,0.27749965,-1.6163795,-1.3842522,-1.1505438,1.5918989,-1.1916702,0.4536722,1.0522581,0.39390936,3.635226,1.2169704,2.2814062,-0.079501495,-0.220812,-1.7164857,-1.2462691
C1=NCCCN1,1.4994016,-0.7409101,1.4320265,-0.24332684,-0.52866477,1.3220966,0.4330896,-1.5770576,-0.9435158,-1.7476803,3.3571799,0.4402898,-1.6879992,-0.76612973,0.04602186,0.3944575,1.2795461,1.0344348,1.4327976,1.7900331,0.36814928,0.08131239,1.2107978,0.30718252,3.677101,1.3372813,1.2827828,-1.5611557,-1.7147152,-1.6757913
C1CNCN1,1.4898899,-0.777829,0.7372392,0.23384103,1.4553783,-1.4653177,0.61526936,-0.54094017,0.4078425,-1.6962417,0.27772623,1.8151639,-1.6479297,-1.3915082,2.845989,-1.6580545,-0.4438902,-1.6475989,2.7609866,-1.5585643,0.21246128,1.0554348,1.5286678,3.0181901,0.88724476,3.2748356,0.35524973,-0.079416715,-1.5873531,-1.4309564
C#C,-0.10176295,-0.9075423,0.46935904,-1.7145407,-0.022093482,-0.315981,-1.3897624,-1.2369201,0.28892234,-1.0759727,3.0780995,1.832284,-1.5562469,-1.3805226,-1.5353346,-1.7214117,-1.1658622,1.4693773,4.6103387,-1.0122592,1.123513,-1.3742585,2.2566085,0.0306697,-1.5400244,-1.3084936,0.3819085,1.1185563,0.61400634,3.4423661
C1=NN=CO1,0.23053886,0.24384925,-1.46405,-1.0222459,-0.55613184,0.7792218,1.3087453,-1.7142861,-1.2527866,-1.7463444,3.1846685,-1.4016241,-1.4520682,-1.4618027,-1.0321515,1.2183665,1.5624021,-1.3658055,1.5061715,3.5073822,0.18032771,-0.8293658,1.8604233,-0.22589897,-1.2348151,-0.59667206,0.34510654,-1.2397999,0.6049274,-1.6349927
C1=COC=N1,-0.66798353,1.2157793,-1.5963026,-1.5774978,0.9373979,0.20753963,-0.17331344,-1.5051384,-1.2970046,-1.7397947,2.7499588,-1.4367876,-1.4295841,-1.2237211,-1.0118468,0.43223992,0.33816552,-1.173082,2.086234,0.28721544,0.3037406,-0.1852683,2.6397147,1.0208873,-1.6166115,-0.95951533,0.94398105,-0.9759569,1.5053124,-1.5353024
C1=NNCC1,0.82251364,-1.5730178,0.5862352,-1.463084,0.08127942,-0.00032359426,-1.0169541,1.1778046,-0.9366949,-1.7498518,3.193301,0.56454515,-1.6726464,-1.0599873,-1.3330222,-0.36324188,-0.82916605,0.6417666,1.6881644,0.4336277,0.22683045,0.5588147,1.7557677,1.9530171,0.6220014,-0.21901494,1.6848676,1.3037151,-1.171459,-1.56982
C1COCO1,1.7174423,5.425152,0.6086059,-1.0036825,0.51987964,0.520315,0.27371436,-1.7264564,-0.30675185,-1.6198792,-1.1776844,2.4743366,-1.6189858,-1.6727823,-1.4851966,-1.6659985,1.7753531,-1.1112753,2.652617,-1.5687399,0.24901816,-1.1785154,-1.042981,0.30774984,-1.7507813,2.2244236,1.6082222,-1.3946252,1.2427735,-1.072187
C1=CN=CC=N1,0.40613428,-1.568297,-1.2349526,-1.5331984,-0.46918118,0.6452797,1.0761204,-1.0074832,-1.4596558,-1.7431631,1.8898783,-0.21927157,-1.4514649,-1.3684615,-1.3042065,1.3272989,1.647771,-0.37907276,2.2344828,0.6974968,0.16324583,-0.094737984,1.8250456,0.5825722,1.3661764,-0.36734602,1.0899739,1.3418146,-1.2077116,-1.6112878
C1=COCC1,1.1227347,1.745275,-0.34171513,-1.5811576,-0.40953597,0.82936126,-1.0102973,-1.60832,-0.21106435,-1.5979652,1.7949293,0.8949573,-1.6417639,-0.471404,-1.5962131,-1.6656338,-1.2148366,0.5024752,1.2186202,-1.5496094,0.5372273,-0.655187,0.7572111,0.93856525,-1.7102194,-0.5905553,0.055995602,-0.059992466,1.4687394,-0.6659595
C1CNCCNC1,3.5226426,-0.25317332,-0.62067956,0.8500163,-0.11851776,-0.5995081,-0.9047228,-1.7078694,-0.25086528,-1.7523787,-1.6758138,1.511284,-1.4343753,-1.4571705,-1.2687819,-1.5699621,0.40207434,-1.3695463,3.4085023,-1.3874869,-0.027945109,0.54459196,0.48811737,3.4023707,0.57267046,5.2032647,0.04193065,1.1063195,-1.4277248,-1.2938856
C1=NNCN1,0.8892046,-1.4021884,-1.5466468,-0.9269295,-0.3859221,-0.72825485,-0.4028367,-1.2087944,-1.3493792,-1.7574896,0.69658834,-1.488186,-1.2582707,-1.0308776,-0.49196386,1.6413578,0.6793253,-1.0678697,3.2390366,2.9487083,0.48301536,0.6302054,3.127393,1.333721,2.8921154,0.38350454,0.7328245,1.4516999,-1.7183876,-1.6209415
C1CCCNCC1,1.4798263,-0.7194195,-0.26638597,-0.23796794,-0.10156364,-0.9922282,-1.5108833,-1.59622,0.61988425,-1.6933953,-0.77689606,1.5033094,-1.6057326,-1.4167945,-1.4432985,-1.6541637,-0.5232083,-0.7571066,2.7529514,-1.6960909,0.7755032,0.31323647,0.20534639,2.0888908,-1.3571062,5.6820755,0.62017316,1.3114753,-1.2208046,-1.5504862
C1=CSCN1,0.20132327,-1.3466146,-1.7220238,-1.5383896,0.23918548,0.85448456,1.0386833,-1.6914725,2.4868448,-1.6610138,1.72326,-0.7526796,0.1330479,0.6842772,0.6309865,-1.259597,-1.55738,-1.0274562,1.8610196,-1.5735693,0.5306466,-0.9433528,5.113375,1.6320168,1.0093827,-1.1386226,-1.7526674,1.2524242,-1.626152,-1.5758865
C1=NNCCC1,3.617813,0.3768073,1.0340649,-1.053096,0.1636469,1.1385466,0.4452118,-1.5563344,-0.775153,-1.7471027,1.507718,1.5443383,-1.4136392,-1.3867408,-1.7187048,-1.183403,0.5584298,0.24207126,3.0774019,0.35638967,0.310792,0.462285,1.1424963,2.2989223,0.11068467,1.2434149,1.6339393,-0.46422675,-1.3144711,-1.5724891
