fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1=CCNC1,106,8779,1,0,0,0,1,0,0,1,10001001,123,27
C1=CCN=C1,107,8458,1,0,0,0,2,0,0,1,10001001,123,27
C1=COCCO1,108,8390,0,0,2,0,1,0,0,1,00101001,26,11
C1CN=NNC1,109,8273,3,0,0,0,1,0,0,1,10001001,123,27
C1=NSCC1,110,7751,1,1,0,0,1,0,0,1,11001001,59,37
C1=NON=C1,111,7597,2,0,1,0,0,0,1,0,10100010,6,31
C1C2CC3CC1CC(C2)C3,112,7499,0,0,0,0,0,0,0,4,00000001,18,1
C1=CNN=CC1,113,7065,2,0,0,0,2,0,0,1,10001001,123,27
C1=NN=CNC1,114,6987,3,0,0,0,2,0,0,1,10001001,123,27
C1COCCOC1,115,6371,0,0,2,0,0,0,0,1,00100001,29,8
C1=NNCCN1,116,6290,3,0,0,0,1,0,0,1,10001001,123,27
C1=NNCO1,117,6255,2,0,1,0,1,0,0,1,10101001,33,32
C1=COCO1,118,6131,0,0,2,0,1,0,0,1,00101001,26,11
C1=NSC=N1,119,5941,2,1,0,0,0,0,1,0,11000010,7,35
C1=CNC=NC1,120,5390,2,0,0,0,2,0,0,1,10001001,123,27
C1=CNCCN1,121,5266,2,0,0,0,1,0,0,1,10001001,123,27
C1=COCCN1,122,5198,1,0,1,0,1,0,0,1,10101001,33,32
C1=NSCCN1,123,5006,2,1,0,0,1,0,0,1,11001001,59,37
C1CNCOC1,124,4992,1,0,1,0,0,0,0,1,10100001,33,30
C1=NCNCC1,125,4792,2,0,0,0,1,0,0,1,10001001,123,27
C1=CN=CC1,126,4451,1,0,0,0,2,0,0,1,10001001,123,27
C1=NNCNC1,127,4172,3,0,0,0,1,0,0,1,10001001,123,27
C1CCSNC1,128,4041,1,1,0,0,0,0,0,1,11000001,24,34
C1COCOC1,129,3971,0,0,2,0,0,0,0,1,00100001,29,8
C1CC2CNCC1CN2,130,3969,2,0,0,0,0,0,0,3,10000001,63,23
C1CC2CCC1O2,131,3740,0,0,1,0,0,0,0,2,00100001,29,8
C1=NOCN1,132,3553,2,0,1,0,1,0,0,1,10101001,33,32
C1=CNCN=N1,133,3442,3,0,0,0,2,0,0,1,10001001,123,27
C1CCSCC1,134,3352,0,1,0,0,0,0,0,1,01000001,5,14
C1=CCNCCC1,135,3141,1,0,0,0,1,0,0,1,10001001,123,27
C1CNCCSC1,136,3111,1,1,0,0,0,0,0,1,11000001,24,34
